Teste 1

17 5318 f

18 5297 y

19 5218 s

20 5210 u

21 5193 x

22 5037 t

23 5034 r

24 5007 x

25 5005 j

26 4995 n

27 4941 c

28 4850 i

29 4802 l

30 4794 j

31 4791 c

32 4788 g

33 4733 y

34 4709 a

35 4673 x

36 4649 y

37 4636 p

38 4588 p

39 4531 h

40 4429 l

41 4414 g

42 4364 w

43 4351 c

44 4346 r

45 4345 l

46 4328 t

47 4251 j

48 4213 o

49 4194 h

50 4191 p

51 4149 l

52 4101 n

53 4077 s

54 4018 h

55 3924 a

56 3920 c

57 3798 r

58 3760 z

59 3706 h

60 3652 l

61 3626 b

62 3460 z

63 3328 c

64 3174 k

65 3083 x

66 3071 o

67 2937 f

68 2542 e

69 2008 e


Teste 9
1 7149 a

2 6612 b

3 6552 w

4 6197 s

5 6170 v

6 6107 j

7 6028 m

8 5986 e

9 5982 e

10 5951 g

11 5945 e

12 5705 c

13 5648 u

14 5640 u

15 5610 u

16 5592 i

17 5578 v

18 5459 s

19 5347 y

20 5340 p

21 5337 w

22 5321 c

23 5302 i

24 5273 g

25 5218 a

26 5160 d

27 5156 y

28 5155 b

29 5145 a

30 5001 w

31 4980 a

32 4960 h

32 4960 j

34 4928 l

35 4915 z

36 4841 u

37 4818 u

38 4815 h

39 4810 q

40 4777 q

41 4763 n

42 4639 u

43 4635 l

44 4589 e

45 4553 w

46 4536 r

47 4531 d

47 4531 l

49 4452 w

50 4404 i

51 4401 y

52 4366 i

53 4262 z

54 4234 j

55 4192 p

56 4034 n

57 3963 m

58 3951 p

59 3843 u

60 3663 a

61 3568 t

62 3494 y

63 3486 r

64 3391 n

65 3365 e

66 3148 c

67 2991 t

68 2883 p

69 2545 g


Teste 10
1 7105 m

2 6897 o

3 6849 n

4 6345 g

5 6267 j

6 6257 d

7 6058 x

8 6048 y

9 5949 i

10 5836 t

11 5827 m

12 5704 w

13 5689 h

14 5681 k

15 5642 k

16 5598 u

17 5525 h

18 5524 d

19 5428 v

20 5338 t

21 5322 m

22 5230 s

23 5218 d

24 5161 y

25 5082 e

26 5061 s

27 5015 w

28 4911 i

29 4853 d

30 4842 a

31 4768 w

32 4763 w

33 4750 p

34 4719 y

35 4695 t

36 4669 j

37 4569 m

38 4518 b

39 4482 k

40 4435 c

41 4394 y

42 4393 x

43 4356 n

44 4332 x

45 4320 d

46 4280 b

47 4257 k

48 4205 r

49 4000 n

50 3972 h

51 3935 r

52 3918 a

53 3813 v

54 3805 h

55 3796 b

56 3786 z

57 3705 p

58 3678 m

59 3617 b

60 3441 c

61 3335 o

62 3266 x

63 3227 u

63 3227 y

65 3193 u

66 3018 h

67 2934 i

68 2842 p

69 2632 b


Teste 11
1 6844 d

2 6808 e

3 6676 q

4 6501 o

5 6420 x

6 6310 k

7 6228 q

8 6136 n

9 6055 k

10 5911 j

11 5904 i

12 5799 r

13 5608 q

14 5590 q

15 5551 c

16 5508 w

17 5372 o

18 5341 w

19 5308 w

20 5292 z

21 5233 p

22 5221 a

23 5170 z

24 5128 t

25 5124 i

26 5117 m

27 5078 x

28 5077 f

29 5054 e

30 5012 p

31 4987 u

32 4915 g

33 4879 i

34 4873 m

35 4781 a

36 4777 q

37 4697 l

38 4562 x

39 4504 y

40 4440 l

41 4411 l

42 4395 m

43 4374 r

44 4344 d

45 4302 u

46 4295 k

47 4243 v

48 4203 c

49 4170 o

50 4129 w

51 4119 q

52 4083 x

53 4061 v

54 3908 w

55 3885 n

56 3792 q

56 3792 z

58 3754 h

59 3699 j

60 3685 s

61 3676 e

62 3663 f

63 3567 v

64 3552 e

65 3477 e

66 3472 u

67 3396 z

68 3170 v

69 2097 i


Teste 12
1 6560 w

2 6470 k

3 6202 r

4 5790 b

5 5556 p

6 5508 p

7 5449 l

8 5430 a

9 5373 f

10 5349 b

11 5339 i

12 5337 f

13 5281 e

14 5257 l

15 5212 e

16 5211 u

17 5158 b

18 5150 q

19 5056 l

20 5041 f

21 5039 z

22 5002 u

23 4985 g

24 4977 b

25 4971 t

26 4873 l

26 4873 z

28 4856 b

29 4855 y

30 4852 w

31 4843 i

32 4797 n

33 4755 l

34 4715 j

35 4638 h

36 4635 a

37 4606 u

38 4579 g

39 4559 x

40 4530 j

41 4509 g

42 4476 k

43 4461 p

44 4454 z

45 4405 p

46 4402 w

47 4369 u

48 4368 b

49 4351 e

50 4335 b

51 4334 t

52 4323 s

53 4277 g

54 4047 s

55 4046 p

56 3905 o

57 3827 k

58 3766 o

59 3718 h

60 3618 y

61 3534 x

62 3282 m

63 3182 x

64 3103 h

65 3042 t

66 3036 c

67 2926 p

68 2703 i

69 2526 r


Teste 13
1 7300 b

2 6931 h

3 6766 v

4 6516 y

5 6348 d

6 6105 r

7 5928 v

8 5914 i

9 5884 f

10 5867 m

11 5810 s

12 5776 z

13 5610 g

14 5601 z

15 5580 d

16 5546 l

17 5363 k

18 5303 d

19 5205 h

20 5127 y

21 5076 w

22 4999 m

23 4892 x

24 4877 d

25 4866 h

26 4861 g

27 4800 i

28 4770 e

29 4724 o

30 4715 w

31 4687 c

32 4684 s

33 4615 c

34 4592 m

35 4579 s

36 4553 a

37 4538 d

38 4483 a

39 4452 b

40 4413 c

41 4349 m

42 4321 h

43 4310 d

44 4272 r

45 4268 j

46 4259 a

47 4227 s

48 4205 l

49 4200 n

50 4197 r

51 4171 p

52 4145 c

53 4135 o

54 4049 n

55 4044 c

56 4029 l

57 4003 s

58 3879 g

59 3816 n

60 3691 p

61 3675 g

62 3476 e

63 3414 o

64 3368 d

65 2932 c

66 2901 e

67 2848 l

68 2326 x

69 2282 q


Teste 14
1 6541 x

2 6314 h

3 6255 t

4 6201 o

5 6117 e

6 6084 m

7 5850 h

8 5816 t

9 5811 m

10 5738 f

11 5737 q

12 5692 d

13 5554 q

14 5425 v

15 5370 y

16 5334 i

17 5319 c

18 5257 e

19 5216 f

20 5197 z

21 5081 o

22 5071 b

23 5053 d

24 5023 s

25 4964 y

26 4935 b

27 4855 l

28 4844 u

29 4800 e

30 4772 h

30 4772 k

32 4709 u

33 4638 i

34 4637 r

35 4583 c

36 4451 v

37 4365 p

38 4353 w

39 4228 t

40 4206 p

41 4187 c

42 4150 g

43 4112 j

44 4054 b

45 4053 m

46 4052 p

47 4014 k

48 4001 h

49 3951 c

50 3926 b

51 3873 w

52 3856 h

53 3806 c

54 3794 e

55 3782 n

56 3780 x

57 3770 y

58 3510 x

59 3504 i

60 3466 i

61 3285 w

62 3271 r

63 3217 r

64 3167 x

65 2978 t

66 2832 x

67 2779 c

68 2609 g

69 2578 i


Teste 15
1 6984 c

2 6386 m

3 6326 j

4 6055 t

5 5711 r

6 5666 w

7 5650 l

8 5631 z

9 5616 k

10 5561 h

11 5521 s

12 5483 s

13 5469 t

14 5386 s

15 5369 j

16 5335 t

17 5319 y

18 5282 r

19 5261 p

20 5250 n

21 5235 a

22 5122 m

23 5112 i

24 5066 u

25 4990 f

26 4912 n

27 4906 j

28 4753 y

29 4718 k

30 4714 s

31 4695 x

32 4692 e

33 4687 v

34 4664 q

35 4646 r

36 4607 k

37 4564 a

38 4542 m

39 4450 r

40 4397 b

41 4352 c

42 4343 a

43 4323 s

44 4307 s

45 4301 b

46 4300 s

47 4286 p

48 4215 l

49 4075 z

50 3951 n

51 3879 v

52 3873 b

53 3868 q

54 3821 p

55 3797 q

56 3793 u

57 3787 x

58 3683 l

59 3672 t

60 3651 e

61 3619 u

62 3529 b

63 3426 l

64 3382 d

65 3340 k

66 3208 n

67 3046 c

68 2980 c

69 2809 o


Teste 16
1 6881 f

2 6293 r

3 6119 s

4 5962 l

5 5842 s

6 5808 b

7 5724 g

8 5705 w

9 5699 q

10 5628 n

11 5503 n

12 5457 f

13 5430 d

14 5427 n

15 5313 k

16 5277 q

17 5243 r

18 5242 m

19 5205 h

20 5160 a

21 5143 f

22 5055 n

23 5028 z

24 5027 f

25 5012 m

26 4962 b

27 4933 p

28 4902 w

29 4799 w

30 4750 u

31 4691 v

32 4681 c

33 4625 c

34 4618 v

35 4574 p

36 4567 r

37 4538 j

38 4501 k

39 4492 x

40 4475 e

41 4371 j

42 4338 q

43 4315 r

44 4282 k

45 4263 h

46 4258 l

47 4225 u

48 4220 z

49 4137 f

50 4113 c

51 4089 h

51 4089 z

53 3931 u

54 3907 g

55 3900 p

56 3850 h

57 3808 u

58 3720 v

59 3653 q

60 3589 i

61 3394 r

62 3377 r

63 3329 f

64 3055 x

65 3027 p

66 2769 u

67 2725 f

68 2717 o

69 2387 q


Teste 17
1 7751 h

2 6499 i

3 6284 b

4 6187 g

5 6162 k

6 6063 d

7 5997 r

8 5871 v

9 5819 f

10 5787 j

11 5775 q

12 5703 k

13 5608 w

14 5551 s

15 5512 n

16 5228 x

17 5221 t

18 5106 l

19 5100 o

20 5043 w

21 5041 h

22 5036 n

23 4943 u

24 4895 p

25 4887 m

26 4870 q

27 4833 w

28 4828 s

29 4816 e

30 4783 x

31 4778 q

32 4761 h

33 4746 p

34 4744 x

35 4713 e

36 4698 r

37 4616 v

38 4548 h

39 4524 y

40 4520 r

41 4445 f

42 4404 s

43 4370 n

44 4329 l

45 4291 v

46 4289 j

47 4269 s

48 4201 c

49 4140 i

50 4110 d

51 4091 d

52 4082 j

53 4060 b

54 4016 t

55 3991 m

56 3972 b

57 3913 r

58 3895 i

59 3744 q

60 3726 t

61 3652 k

62 3599 b

63 3597 k

64 3388 p

65 3279 w

66 3066 v

67 3051 v

68 2924 f

69 2738 x


Teste 18
1 6062 q

2 5630 k

3 5626 l

4 5601 d

5 5592 u

6 5555 s

7 5460 e

8 5391 k

9 5365 y

10 5204 i

11 5187 b

12 5170 e

13 5163 q

14 5149 b

15 5111 n

16 5046 v

17 5037 r

18 4978 r

19 4862 e

20 4861 b

21 4844 e

22 4839 b

23 4834 y

24 4756 v

25 4731 b

26 4727 c

27 4720 q

28 4696 q

29 4602 p

30 4550 i

31 4520 k

32 4502 c

33 4453 p

34 4434 c

35 4426 s

36 4321 m

37 4288 d

38 4256 u

39 4251 h

40 4237 n

41 4236 j

42 4219 t

43 4204 u

44 4140 p

45 4094 e

46 4052 e

47 4046 y

48 4039 t

49 3924 i

50 3882 f

51 3876 y

52 3874 e

53 3790 w

54 3759 p

55 3604 t

56 3575 o

57 3466 v

58 3456 l

59 3413 b

60 3327 z

61 3252 x

62 3145 q

63 2985 q

64 2977 b

65 2933 g

66 2926 p

67 2814 o

68 2545 h

69 2418 a


Teste 19
1 6839 o

2 6296 l

3 6248 e

4 6175 f

5 6040 j

6 5732 m

7 5651 c

8 5573 b

9 5526 f

10 5441 n

11 5396 i

12 5388 g

13 5381 h

14 5335 v

15 5272 o

16 5221 d

17 5202 e

18 5120 p

19 5097 j

20 5087 t

21 5053 a

22 5018 s

23 5007 u

24 4971 b

25 4943 r

26 4926 i

27 4923 b

28 4881 j

29 4865 o

30 4767 t

31 4733 t

32 4723 e

33 4714 h

34 4678 c

35 4671 j

36 4584 k

37 4577 o

38 4571 m

39 4535 c

40 4525 o

41 4462 r

42 4453 u

43 4396 z

44 4365 x

45 4355 m

46 4252 p

47 4192 e

48 4165 l

49 4083 s

50 4011 n

51 3970 r

52 3910 l

53 3798 a

54 3794 x

55 3756 u

56 3753 z

57 3697 e

58 3645 r

59 3607 t

60 3595 a

60 3595 w

62 3478 k

63 3466 x

64 3401 d

65 3375 n

66 3064 t

67 2957 a

68 2656 r

69 2604 o


Teste 20
1 6774 z

2 6675 f

3 6635 k

4 6371 i

5 6129 g

6 5999 n

7 5971 v

8 5887 q

9 5855 o

10 5760 h

11 5676 l

12 5673 m

13 5609 n

14 5567 d

15 5549 l

16 5534 a

17 5469 z

18 5421 v

19 5372 w

20 5275 w

21 5178 f

22 5173 c

23 5151 v

24 5107 g

25 5105 e

26 5032 y

27 4996 b

28 4981 c

29 4976 l

30 4966 m

31 4937 c

32 4801 o

33 4724 w

34 4659 y

35 4652 x

36 4538 n

37 4537 e

37 4537 v

39 4528 h

40 4499 f

41 4478 i

42 4423 w

43 4419 u

44 4411 h

45 4324 o

45 4324 r

47 4286 l

48 4259 y

49 4235 d

50 4177 t

51 4167 m

52 4158 i

53 4042 u

54 4002 t

55 4000 s

56 3891 n

57 3860 e

58 3718 u

59 3697 a

60 3639 u

61 3362 s

62 3282 a

63 3264 s

64 3223 i

65 3196 u

66 3139 w

67 3121 b

68 2633 s

69 2618 w


Teste 21
1 5155 j

2 4422 e

3 4336 d


Teste 22
1 6731 u

2 6285 s

3 5889 s

4 5866 e

5 5745 s

6 5585 p

7 5504 m

8 5503 n

9 5393 h

10 5392 h

11 5228 p

12 5222 p

13 5161 u

14 4934 j

15 4888 x

16 4869 n

17 4812 a

18 4800 d

19 4728 q

20 4601 m

21 4554 t

22 4513 s

23 4467 c

24 4446 b

25 4429 b

26 4382 x

27 4355 p

28 4284 b

29 4270 a

30 4219 c

31 4193 g

32 4085 t

33 4044 a

34 3837 w

35 3773 o

36 3716 c

37 3619 c

38 3602 m

39 3464 f

40 3419 z

41 3404 h

42 3393 a

43 3310 p

44 3270 l

45 3221 l

46 3124 j

47 3037 x

48 2900 f

49 2253 b

50 2077 o


Teste 23
1 6897 c

2 6854 t

3 6506 r

4 6311 k

5 6204 l

6 6191 t

7 6094 h

8 6090 d

9 5911 t

10 5904 k

11 5847 b

12 5817 d

13 5673 f

14 5625 n

15 5572 d

16 5538 d

17 5501 q

18 5461 c

19 5454 l

20 5448 p

21 5397 i

22 5369 d

23 5323 s

24 5321 u

25 5281 l

26 5271 n

27 5239 y

28 5214 m

29 5175 m

30 5135 g

31 5129 z

32 5122 x

33 5118 n

34 5046 f

35 5028 y

36 5021 z

37 5000 q

38 4984 z

39 4968 h

40 4923 e

41 4919 a

42 4899 t

43 4836 l

44 4818 i

45 4756 g

46 4737 c

47 4718 o

48 4695 p

49 4649 q

50 4639 w

51 4627 p

52 4626 z

53 4579 g

54 4578 b

55 4575 v

56 4554 v

57 4540 z

58 4516 o

59 4498 x

60 4369 h

61 4368 r

62 4337 w

63 4273 l

64 4265 h

65 4216 x

66 4159 y

67 4127 i

68 4115 u

69 4062 v

70 4030 d

71 4009 y

72 4000 s

73 3949 v

74 3920 d

75 3917 b

76 3887 r

77 3873 m

78 3850 n

79 3783 w

80 3773 j

81 3730 r

82 3715 h

83 3708 r

84 3666 u

85 3657 y

86 3634 m

87 3621 z

88 3419 v

89 3403 r

90 3387 h

91 3378 h

92 3267 q

93 2647 z


Teste 24
1 7252 q

2 6731 r

3 6115 z

4 5981 v

5 5724 c

6 5709 b

7 5522 s

8 5442 p

9 5433 f

10 5396 z

11 5295 j

12 5287 a

13 5277 s

14 5266 b

15 5248 e

16 5227 f

17 5213 h

18 5212 v

19 5189 m

20 5182 a

21 5133 o

22 5116 m

23 5114 w

24 5044 l

25 5037 k

26 4985 y

27 4958 h

28 4881 n

29 4866 d

30 4854 f

31 4812 r

32 4720 h

33 4718 u

34 4688 l

35 4663 n

36 4661 g

37 4572 t

38 4467 w

39 4431 k

40 4425 i

41 4405 l

42 4397 e

43 4389 l

44 4382 k

45 4328 h

46 4312 s

47 4303 j

48 4290 q

49 4278 m

50 4272 a

51 4160 g

52 4125 r

53 4076 b

54 4063 y

55 4044 q

56 4039 v

57 3947 p

58 3924 u

59 3901 z

60 3895 z

61 3840 n

62 3675 p

63 3665 m

64 3662 i

65 3608 z

66 3555 i

67 3509 j

67 3509 m

69 3483 t

70 3478 h

71 3182 q

72 3109 r

73 3103 g

74 3053 z

75 2958 e

76 2735 h

77 2676 y


Teste 25
1 6635 c

2 6576 n

3 6556 l

4 6525 n

5 6283 r

6 6057 p

7 5818 u

8 5801 h

9 5790 t

10 5740 z

11 5735 a

12 5547 s

13 5524 z

14 5434 t

15 5398 z

16 5397 p

17 5381 n

18 5288 h

19 5271 r

20 5250 p

21 5243 d

22 5184 o

22 5184 s

24 5120 s

25 5118 u

26 5010 a

27 4953 b

28 4952 g

29 4946 d

30 4942 h

31 4920 b

32 4865 f

33 4816 f

34 4771 r

35 4764 f

36 4677 f

37 4665 e

38 4635 x

39 4620 k

40 4574 a

41 4568 u

42 4522 w

43 4476 e

44 4449 e

45 4435 w

46 4422 a

47 4382 c

48 4346 t

49 4290 f

50 4232 f

51 4176 o

52 4142 j

53 4133 k

54 4073 k

55 4071 o

56 4041 t

57 4020 t

58 3991 q

59 3986 n

60 3943 o

60 3943 t

62 3920 u

63 3775 f

64 3755 t

65 3603 n

66 3588 a

67 3553 c

68 3552 g

69 3521 y

70 3490 e

71 3486 w

72 3482 c

73 3409 z

74 3407 w

75 3394 k

76 3363 k

77 3273 q

78 2836 o

79 1856 t


Teste 26
1 6431 a

2 6262 c

3 6199 b

4 6167 q

5 6088 s

6 5889 x

7 5813 t

8 5758 o

8 5758 s

10 5743 j

11 5473 v

12 5444 t

13 5439 r

14 5324 u

15 5255 k

16 5231 q

17 5230 n

18 5142 c

19 5132 o

20 5114 v

21 5069 j

22 5009 u

23 4981 z

24 4973 x

25 4956 x

26 4941 z

27 4898 h

28 4891 m

29 4880 c

30 4860 p

31 4822 k

32 4750 v

33 4747 n

34 4719 b

35 4711 v

36 4663 j

37 4653 u

38 4606 x

39 4542 u

40 4526 s

41 4510 u

41 4510 w

43 4489 y

44 4475 j

45 4372 w

46 4360 e

47 4330 u

48 4328 i

49 4280 q

50 4269 v

51 4228 g

52 4227 q

53 4194 r

54 4171 d

55 4166 t

56 4160 f

57 4143 e

58 4122 v

59 4101 w

60 4098 v

61 4079 t

62 4074 q

63 4040 g

64 3968 p

65 3898 v

66 3882 l

67 3778 f

68 3757 b

69 3615 j

70 3582 v

71 3406 i

72 3395 n

73 3388 a

74 3349 y

74 3349 z

76 3299 f

77 3296 g

78 3255 j

79 3238 i

80 3227 g

81 3140 d

82 2753 q


Teste 27
1 8011 h

2 6970 m

3 6530 q

4 6432 e

5 6386 j

6 6247 f

7 6149 s

8 6139 x

9 6082 j

10 5875 u

11 5563 u

12 5561 p

13 5540 r

14 5517 n

15 5493 q

16 5487 t

17 5460 w

18 5406 p

19 5386 t

20 5282 s

21 5269 e

22 5150 d

23 4981 z

24 4972 g

25 4967 l

26 4819 k

27 4813 j

28 4811 i

29 4764 t

30 4763 t

31 4725 p

32 4692 t

33 4645 y

34 4635 j

35 4601 s

36 4596 p

37 4507 g

38 4484 h

39 4477 x

40 4345 r

41 4263 w

42 4261 d

43 4230 z

44 4194 r

45 4141 u

46 4112 p

47 4033 k

48 4009 i

49 3871 f

50 3854 y

51 3815 f

52 3748 z

53 3568 w

54 3542 v

55 3488 w

56 3487 k

57 3419 n

58 3307 f

59 3203 t

60 3149 o

61 3096 t


Teste 28
1 6792 e

2 6492 f

3 5991 d

4 5977 n

5 5885 c

6 5688 s

7 5504 p

8 5383 v

9 5248 o

10 5214 x

11 5153 k

12 5149 k

13 5142 k

14 5119 p

15 4923 h

16 4909 n

17 4904 b

18 4873 r

19 4684 c

20 4661 x

21 4588 v

22 4219 b

23 4158 q

24 4092 v

25 3908 q

26 3684 a

27 3664 o

28 3589 z

29 3539 q

30 2467 u


Teste 29
1 7195 h

2 6956 q

3 6887 o

4 6593 p

5 6289 y

6 6098 t

7 5828 x

8 5800 a

9 5733 s

10 5706 y

11 5692 h

12 5659 h

13 5634 w

14 5488 a

15 5457 h

16 5352 m

17 5304 v

18 5273 x

19 5266 b

20 5260 j

21 5224 b

22 5217 f

23 5204 i

24 5200 k

25 5155 n

26 5144 f

27 5103 n

28 5054 m

29 5021 x

30 4978 s

31 4930 g

32 4921 i

33 4856 r

34 4855 y

35 4831 f

36 4776 v

37 4756 g

38 4747 g

39 4721 u

40 4651 i

41 4582 p

42 4567 i

43 4555 n

44 4542 y

45 4531 x

46 4513 c

47 4475 w

48 4461 d

49 4404 w

50 4376 s

51 4364 n

52 4356 g

53 4344 r

54 4315 i

55 4251 z

56 4238 r

57 4181 q

58 4160 p

59 4146 a

60 4145 p

61 4082 k

62 4043 k

63 4005 s

64 3951 x

65 3916 w

66 3915 i

67 3871 j

68 3761 y

69 3714 y

70 3704 v

71 3696 y

72 3692 n

73 3635 v

74 3613 i

75 3595 l

76 3576 a

77 3514 f

78 3487 j

79 3428 u

80 3372 c

81 3359 t

82 3253 j

83 3198 e

84 3155 n

85 3021 v

86 2934 k

87 2884 e

88 2610 f

89 2498 w

90 1887 q


Teste 30
1 7146 j

2 6716 i

3 6581 a

4 6557 k

5 6514 d

6 6339 p

7 5971 z

8 5963 m

9 5956 x

