Teste 1
4 6420 c
5 6326 i
6 6106 i
7 6036 m
8 5998 a
9 5947 r
10 5946 a
11 5890 g
12 5871 g
13 5869 n
14 5845 z
15 5765 z
16 5764 q
17 5645 b
18 5584 m
19 5558 p
20 5545 k
21 5444 w
22 5431 p
23 5416 v
24 5361 a
25 5340 g
26 5245 q
27 5113 c
28 5068 t
29 5060 m
30 5017 p
31 4975 w
32 4827 v
33 4810 g
34 4772 v
35 4729 i
36 4708 a
37 4671 e
38 4579 b
39 4549 a
40 4459 e
41 4361 o
42 4289 r
43 4249 i
44 4205 d
45 4036 p
46 4030 d
47 4028 i
48 3997 c
49 3902 q
50 3861 l
51 3824 q
52 3816 v
53 3802 a
54 3674 m
55 3313 n
56 3232 v
57 3055 k
58 2418 t
59 0 a
59 0 c
59 0 i
59 0 v

Teste 11
1 6723 u
2 6706 a
3 6655 l
4 6475 v
5 6420 j
6 6106 z
7 6059 y
8 5998 a
9 5946 v
10 5871 h
11 5869 q
12 5851 w
13 5845 f
14 5843 p
15 5804 n
16 5764 y
17 5741 w
18 5717 k
19 5698 i
20 5688 o
21 5687 f
22 5584 k
23 5545 g
24 5507 f
25 5431 b
26 5425 b
27 5386 j
28 5361 e
29 5359 y
30 5333 u
31 5315 w
32 5245 o
33 5133 z
34 5068 h
35 5038 x
36 5017 q
37 4827 w
38 4772 r
39 4722 c
40 4708 w
41 4656 w
42 4579 c
42 4579 e
44 4501 v
45 4482 r
46 4459 v
47 4430 b
48 4289 f
49 4205 i
50 4133 h
51 4120 h
52 4030 h
52 4030 w
54 3997 y
55 3861 p
56 3816 p
57 3674 w
58 3427 g
59 3232 b
60 3128 p
61 2418 h
62 0 l
62 0 m
62 0 n
62 0 x

Teste 12
1 6706 x
2 6647 h
3 6539 o
4 6475 u
5 6236 o
6 6106 i
7 5998 t
8 5871 h
9 5851 h
10 5843 b
11 5776 m
12 5764 o
13 5717 z
14 5688 y
15 5649 b
16 5600 i
17 5595 q
18 5584 e
19 5507 x
20 5467 s
21 5465 y
22 5425 t
23 5380 p
24 5362 o
25 5361 o
26 5333 j
27 5301 p
28 5245 n
29 5068 g
30 5017 c
31 5006 h
32 4973 f
33 4846 u
34 4803 b
35 4772 a
36 4708 s
37 4659 t
38 4640 a
39 4594 o
40 4592 h
41 4579 q
42 4563 n
43 4501 t
44 4493 t
45 4463 o
46 4459 b
47 4399 j
48 4377 n
49 4289 o
50 4133 z
51 4122 x
52 4039 c
53 4030 p
54 3997 n
55 3928 t
56 3918 z
57 3816 p
58 3645 g
59 3436 e
60 3427 h
61 3277 x
62 3128 f
63 2864 z
64 0 o
64 0 o

Teste 13
1 6270 y
2 6241 g
3 6236 q
4 5552 l
5 5479 y
6 5301 o
7 5068 j
8 5006 c
9 4880 d
10 4857 a
11 4846 d
12 4804 l
13 4772 y
14 4766 f
15 4659 a
16 4600 c
17 4594 g
18 4579 y
19 4515 e
20 4501 l
21 4496 o
22 4463 f
23 4417 j
24 4399 n
25 4373 a
26 4289 j
27 4122 q
28 4106 a
29 4030 e
30 3928 o
31 3924 n
32 3871 y
33 3816 y
34 3436 n
35 3277 a
36 3128 o
37 2926 j
38 2864 l
39 2372 n
40 0 a

Teste 14
1 6306 d
2 6241 r
3 6011 g
4 5892 r
5 5791 i
6 5779 a
7 5683 c
8 5552 b
9 5301 r
10 5229 u
11 5172 t
12 5142 k
13 5006 a
14 4925 x
15 4857 i
16 4804 q
17 4786 r
18 4766 t
19 4725 v
20 4600 x
21 4596 a
22 4579 d
23 4563 b
24 4501 x
25 4463 h
26 4399 g
27 4394 d
28 4289 u
29 4266 m
30 4106 c
31 4081 q
32 3981 h
33 3928 a
34 3871 d
35 3632 q
36 3436 m
37 3261 x
38 3128 k
39 2864 v
40 0 q

Teste 15
1 7561 r
2 6766 s
3 6339 w
4 6147 h
5 6094 h
6 5963 x
7 5920 x
8 5573 x
9 4915 v
10 4840 r
11 4804 h
12 4766 x
13 4600 m
14 4579 w
15 4558 b
16 4501 b
17 4399 h
18 4368 m
19 4289 x
20 4106 v
21 3981 s
22 3871 m
23 3436 r
24 3128 r
25 2448 m
26 0 x

Teste 16
1 6766 e
2 6472 h
3 6147 a
4 5963 p
5 5935 h
6 5573 h
7 5463 m
8 5250 e
9 5167 u
10 5155 g
11 5102 m
12 4840 m
13 4835 b
14 4766 b
15 4579 u
16 4501 v
17 4453 e
18 4368 f
19 4264 f
20 4106 g
21 4088 a
22 3989 v
23 3871 e
24 3177 p
25 3128 m
26 0 h

Teste 17
1 6345 d
2 4824 k
3 4526 v
4 4106 e
5 3989 k
6 3177 d
7 0 v

Teste 18
1 5453 n
2 5095 r
3 4921 e
4 4824 o
5 4696 o
6 4106 r
7 3177 n

Teste 19
1 5244 y
2 4696 l
3 3177 y

Teste 20
1 6514 u
2 4696 u
3 4335 l

Teste 21
1 6774 e
2 6514 c
3 5453 w
4 5250 g
5 5155 e
6 4921 u
7 4857 n
8 4840 s
9 4814 s
10 4766 n
11 4739 g
12 4687 k
13 4637 w
14 4501 w
15 4368 k
16 4335 f
17 4111 f
18 4004 c
19 3999 u
20 3702 w

Teste 22
1 6514 q
2 6230 z
3 5780 n
4 5572 l
5 5250 b
6 5083 m
7 4921 d
8 4895 z
9 4840 z
10 4838 q
11 4766 h
12 4687 l
13 4501 n
14 4335 m
15 4148 b
16 4004 n
17 3862 h
18 3770 d
19 3702 z
20 3097 n

Teste 23
1 6706 u
2 6539 y
3 6472 g
4 6241 t
5 6236 o
6 6230 v
7 5998 g
8 5963 w
9 5928 m
10 5926 o
11 5892 e
12 5851 h
13 5803 s
14 5779 z
15 5776 o
16 5761 g
17 5757 z
18 5717 s
19 5706 u
20 5685 h
21 5649 q
22 5621 p
23 5595 k
24 5573 i
25 5572 r
26 5552 h
27 5527 f
28 5507 f
29 5465 t
30 5440 k
31 5380 z
32 5361 x
33 5305 y
34 5229 p
35 5178 t
36 5142 g
37 5083 t
38 5081 x
39 5058 t
40 5041 e
41 5014 w
42 4925 s
43 4895 e
44 4848 o
45 4838 k
46 4687 u
47 4598 g
48 4512 g
49 4355 z
50 4335 h
50 4335 m
52 4316 q
53 4267 k
54 4266 k
55 4191 i
56 4182 v
57 4038 r
58 4021 v
59 4004 v
60 3989 s
61 3834 t
62 3770 d
63 3359 e
64 3148 d
65 3097 k

Teste 24
1 7461 j
2 7088 k
3 6985 a
4 6539 h
5 6360 r
6 6241 t
7 6230 r
8 6211 l
9 6098 w
10 6034 a
11 5963 b
12 5926 j
13 5909 g
14 5851 j
15 5842 l
16 5827 t
17 5779 l
18 5761 f
19 5717 b
20 5685 l
21 5621 w
22 5573 w
23 5562 w
24 5552 b
25 5542 t
26 5507 s
27 5483 j
28 5447 c
29 5440 u
30 5363 w
31 5361 o
32 5348 y
33 5319 a
34 5229 e
35 5142 g
36 5081 y
37 5041 p
38 5009 u
39 5005 b
40 4982 u
41 4980 e
42 4979 c
43 4925 f
44 4902 o
45 4859 b
46 4848 a
47 4687 l
48 4622 b
49 4512 o
50 4397 p
51 4335 a
52 4322 s
53 4317 f
54 4316 t
55 4313 h
56 4266 l
57 4182 a
58 4056 l
59 4021 w
60 3989 k
61 3827 f
62 3793 o
63 3770 c
64 3609 l
65 3148 c

Teste 25
1 7720 a
2 7461 a
3 7345 v
4 7272 c
5 7056 k
6 6985 k
7 6940 a
8 6518 u
9 6360 s
10 6294 r
11 6272 j
12 6230 z
13 6228 b
14 6098 b
15 6003 k
16 5963 p
17 5909 t
18 5842 m
18 5842 u
20 5809 b
21 5779 x
22 5725 b
23 5717 q
24 5654 q
25 5621 j
26 5607 p
27 5562 u
28 5542 c
29 5483 k
30 5440 m
30 5440 m
30 5440 t
33 5400 z
34 5361 u
35 5322 k
36 5319 e
37 5316 b
38 5294 s
39 5217 a
40 5207 h
41 5159 l
42 5142 b
43 5081 g
44 5069 e
45 5041 q
46 5005 c
47 4982 x
48 4980 a
49 4934 m
50 4925 t
51 4921 c
52 4868 t
53 4859 r
54 4699 f
55 4687 q
56 4655 q
57 4589 m
58 4523 c
59 4512 k
60 4403 c
61 4335 m
62 4317 c
63 4313 c
64 4305 j
65 4182 j
66 4152 u
67 4105 q
68 4021 m
69 3955 s
70 3827 s
71 3796 a
72 3770 a
73 3546 u
74 3148 v
75 0 a
75 0 b
75 0 b
75 0 f
75 0 g
75 0 h
75 0 j
75 0 l
75 0 m

Teste 26
1 7461 p
2 7272 l
3 6985 p
4 6518 m
5 6452 q
6 6342 r
7 6294 f
8 6291 c
9 6230 t
10 6220 e
11 6113 g
12 6098 c
13 5963 b
14 5865 r
15 5842 e
16 5809 j
17 5754 w
18 5749 q
19 5725 y
20 5710 v
21 5696 a
22 5654 w
23 5633 u
24 5607 q
25 5594 f
26 5563 x
27 5542 x
28 5513 d
29 5511 m
30 5484 t
31 5440 l
31 5440 p
33 5384 j
34 5383 l
35 5380 h
36 5361 b
37 5348 t
38 5319 f
39 5294 k
40 5237 j
41 5208 t
42 5207 t
43 5196 s
44 5142 y
45 5110 e
46 5069 x
47 5010 x
48 5005 r
49 4994 f
50 4980 e
51 4925 g
52 4868 u
53 4789 x
54 4701 p
55 4699 m
56 4655 j
57 4628 b
58 4596 b
59 4552 u
60 4523 x
61 4522 x
62 4459 s
63 4403 h
64 4380 p
65 4317 d
66 4305 s
67 4269 m
68 4177 l
69 4152 q
70 4028 d
71 4021 u
72 3950 p
73 3827 r
74 3770 v
75 3484 y
76 3460 y
77 3232 j
78 3218 k
79 3148 s
80 0 a
80 0 d
80 0 t
80 0 x

Teste 27
1 7433 g
2 6650 z
3 6256 p
4 6243 h
5 6140 r
6 6105 q
7 6097 z
8 5652 x
9 5646 n
10 5348 v
11 5294 x
12 5264 b
13 5249 v
14 5208 v
15 5196 n
16 5110 g
17 5010 p
18 4994 z
19 4942 b
20 4925 g
21 4915 e
22 4789 p
23 4699 c
24 4689 g
25 4654 g
26 4629 n
27 4628 r
28 4552 b
29 4522 e
30 4440 p
31 4403 q
32 4317 q
33 4269 g
34 4152 b
35 4144 g
36 4141 t
37 4031 v
38 4021 n
39 3827 e
40 3788 q
41 3751 c
42 3600 e
43 3484 h
44 3313 w
45 3232 z
46 3148 g
47 0 t
47 0 w

Teste 28
1 7239 e
2 6650 y
3 6243 y
4 6174 i
5 6105 s
6 6072 n
7 5652 m
8 5516 x
9 5410 m
10 5348 i
11 5342 e
12 5264 e
12 5264 i
14 5208 n
15 5143 n
16 5110 j
17 5100 v
18 5048 s
19 5018 m
20 4994 e
21 4964 p
22 4925 w
23 4855 e
24 4796 y
25 4789 n
26 4773 l
27 4689 p
28 4629 x
29 4615 t
30 4552 j
31 4514 o
32 4476 n
33 4440 v
34 4403 w
35 4317 l
36 4153 y
37 4152 z
38 4141 l
39 4092 l
40 4021 o
41 4013 j
42 3819 z
43 3788 t
44 3628 j
45 3600 n
46 3313 i
47 3148 e
48 0 m

Teste 29
1 6650 d
2 6645 r
3 6536 s
4 6216 a
5 6174 o
6 6072 a
7 5826 j
8 5691 c
9 5639 x
10 5542 y
11 5541 g
12 5516 g
13 5511 p
14 5506 o
15 5440 u
16 5384 h
17 5380 j
18 5348 j
19 5272 v
20 5264 x
21 5208 o
22 5190 u
23 5116 f
24 5110 v
25 5082 i
26 5051 q
27 5048 f
28 5001 c
29 4994 l
30 4925 o
31 4823 j
32 4796 x
33 4773 i
33 4773 i
35 4745 p
36 4714 e
37 4629 a
38 4621 o
39 4615 d
40 4587 n
41 4552 i
42 4476 r
43 4412 v
44 4403 n
45 4389 a
46 4290 f
47 4153 c
48 4141 f
49 4136 h
50 4021 c
51 3819 e
52 3628 q
53 3611 o
54 3544 x
55 3530 l
56 3313 v
57 0 s

Teste 30
1 6645 y
2 6319 a
3 6273 o
4 6216 w
5 6072 f
6 5996 j
7 5852 f
8 5736 v
9 5691 l
10 5542 j
11 5516 v
12 5506 h
13 5467 j
14 5458 c
15 5431 w
16 5423 y
17 5387 l
18 5384 e
19 5348 r
20 5344 q
21 5326 l
22 5307 w
23 5264 l
24 5194 t
25 5190 a
26 5166 v
27 5110 u
28 5051 c
29 5001 f
30 4925 t
31 4862 e
32 4796 a
33 4780 c
34 4773 n
35 4714 j
36 4669 c
37 4621 l
38 4592 y
39 4587 c
40 4502 r
41 4499 r
42 4497 u
43 4476 o
44 4475 n
45 4403 q
46 4356 t
47 4304 a
48 4290 w
49 4265 h
50 4141 r
51 4045 f
52 4044 r
53 4021 t
54 3628 r
55 3544 c
56 3313 v
57 3103 l

Teste 31
1 6484 e
2 5746 v
3 5316 a
4 5269 r
5 5202 v
6 4966 r
7 4837 o
8 4499 z
9 4476 o
10 4403 w
11 4304 r
12 4265 e
13 4045 r
14 4021 v
15 3544 v
16 3103 a
17 2595 w

Teste 32
1 6026 a
2 5746 a
3 5669 z
4 5618 u
5 5269 o
6 5139 v
7 4966 k
8 4936 h
9 4776 k
10 4730 j
11 4719 o
12 4578 z
13 4499 h
14 4403 v
15 4265 z
16 4021 u
17 3103 j

Teste 33
1 6645 f
2 6369 m
3 6294 u
4 6273 w
5 6230 d
6 6113 z
7 6072 o
8 6061 n
9 6026 d
10 6010 w
11 5963 v
12 5952 m
13 5882 l
14 5852 u
15 5842 e
15 5842 s
17 5825 d
18 5821 m
19 5755 p
20 5754 o
21 5725 s
22 5696 l
23 5691 e
24 5669 n
25 5633 e
26 5594 g
27 5518 r
28 5516 l
29 5497 l
30 5469 e
31 5467 s
32 5459 f
33 5431 m
34 5419 b
35 5387 d
36 5348 l
37 5326 l
38 5269 j
39 5264 h
40 5260 i
41 5252 v
42 5190 m
43 5110 m
44 5097 v
45 5092 e
46 5030 o
47 5009 t
48 5001 x
49 4966 h
50 4924 j
51 4899 h
52 4896 l
53 4862 b
54 4780 w
55 4777 l
56 4776 p
57 4719 t
58 4714 r
59 4621 v
60 4587 i
61 4578 e
62 4549 h
63 4499 e
64 4416 s
65 4409 d
66 4341 d
67 4295 o
68 4265 s
69 4212 g
70 4168 l
71 4089 e
72 4008 x
73 3996 z
74 3716 u
75 3658 s
76 3370 w
77 3103 l

Teste 34
1 7225 d
2 7062 v
3 6872 b
4 6643 a
5 6478 m
6 6369 c
7 6299 r
8 6273 g
9 6113 m
10 6061 p
11 6010 p
12 5952 r
13 5852 h
14 5842 r
15 5821 d
16 5796 h
17 5763 j
18 5754 q
18 5754 u
20 5743 n
21 5721 u
22 5696 c
23 5681 p
24 5669 u
25 5648 z
26 5623 m
27 5594 o
28 5561 m
29 5516 e
30 5469 m
31 5459 h
32 5419 m
33 5348 v
34 5339 r
35 5287 c
36 5269 d
37 5260 l
38 5190 m
39 5118 v
40 5097 a
41 5030 t
42 5012 g
43 5004 e
44 5001 z
45 4974 h
46 4924 r
47 4910 x
48 4896 u
49 4848 u
50 4841 f
51 4780 f
52 4776 v
53 4717 p
54 4714 n
55 4617 t
56 4587 x
57 4564 u
58 4549 v
59 4539 o
60 4506 l
61 4416 n
62 4401 r
63 4392 v
64 4341 x
65 4295 c
66 4265 v
67 4245 v
68 4184 q
69 4168 m
70 4058 d
71 4008 u
72 3968 n
73 3860 m
74 3824 m
75 3716 j
76 3370 b
77 2655 x

Teste 35
1 7461 o
2 7225 o
3 7221 e
4 6985 b
5 6872 b
6 6689 t
7 6478 s
8 6452 w
9 6299 o
10 6113 n
11 6094 u
12 6073 u
13 6031 f
14 6010 q
15 5852 a
16 5821 f
17 5802 c
18 5763 e
19 5754 v
20 5721 c
21 5694 q
22 5681 o
23 5653 r
24 5648 c
25 5594 q
26 5582 y
27 5570 v
28 5539 q
29 5526 f
30 5516 p
31 5511 c
32 5486 r
33 5469 p
34 5459 r
35 5446 a
36 5348 y
37 5305 e
38 5287 e
39 5280 v
40 5260 l
41 5177 n
42 5120 i
43 5118 u
44 5073 o
45 5030 p
46 5006 p
47 5004 a
48 4974 f
49 4941 y
50 4939 u
51 4912 j
52 4910 p
53 4875 w
54 4867 n
55 4848 j
56 4784 p
57 4780 t
58 4718 b
59 4717 p
60 4622 a
61 4617 e
62 4593 j
63 4564 p
64 4539 j
65 4433 h
66 4416 t
67 4392 k
68 4326 o
69 4312 o
70 4295 y
71 4245 j
72 4241 l
72 4241 o
74 4230 r
75 4168 i
76 4161 t
77 4150 p
78 4097 e
79 4087 b
80 4015 p
81 4008 v
82 4002 k
83 3900 o
84 3860 l
85 3829 p
86 3745 l
87 3716 p
88 3399 s
89 3297 j
90 3276 q
91 2655 u
92 0 h
92 0 n
92 0 o
92 0 q
92 0 r
92 0 r
92 0 u
92 0 w

Teste 36
1 7225 m
2 7081 m
3 6985 w
4 6712 w
5 6689 m
6 6516 e
7 6452 s
8 6431 w
9 6330 a
10 6295 c
11 6251 t
12 6243 i
13 6142 z
14 6130 r
15 6113 v
16 6073 m
17 6010 z
18 5917 m
19 5821 o
20 5783 s
21 5763 y
22 5753 z
23 5730 w
24 5721 p
25 5698 f
26 5681 e
27 5648 l
28 5582 m
29 5557 w
30 5539 t
30 5539 z
32 5516 c
33 5491 x
34 5486 j
35 5459 t
36 5361 b
37 5348 w
38 5287 x
39 5263 l
40 5260 w
41 5259 m
42 5254 o
43 5244 e
44 5204 y
45 5120 c
46 5105 t
46 5105 y
48 5095 l
49 5073 z
50 5061 m
51 5034 d
52 5006 s
53 4999 p
54 4974 o
55 4939 r
56 4910 b
57 4891 r
58 4883 b
59 4867 y
60 4836 a
61 4828 m
62 4813 t
63 4784 o
64 4718 e
65 4712 o
66 4685 o
67 4676 z
68 4622 d
69 4599 c
70 4594 b
71 4593 a
72 4539 b
73 4526 j
74 4485 n
75 4416 f
76 4326 i
77 4295 j
78 4275 a
79 4241 n
80 4230 a
81 4172 s
82 4161 b
83 4097 l
84 4015 w
85 4002 a
86 3956 v
87 3941 r
88 3860 t
89 3834 j
90 3745 g
91 3684 w
92 3399 r
93 3276 r
94 3111 g
95 3067 r
96 0 m
96 0 r
96 0 z
96 0 z

Teste 37
1 4581 o
2 4480 f
3 3577 c
4 3067 f
5 0 c
5 0 o

Teste 38
1 5711 q
2 4577 u
3 4480 u
4 4255 a
5 3067 a
6 0 q

Teste 39
1 7016 w
2 6249 q
3 5989 s
4 5784 v
5 5771 m
6 5210 h
7 4945 v
8 4821 a
9 4680 y
10 4577 i
11 4337 i
12 4295 g
13 4255 m
14 4241 f
15 4172 w
16 4097 a
17 4002 v
18 3941 q
19 3834 s
20 3684 h
21 3661 f
22 3276 y
23 0 v

Teste 40
1 6925 t
2 6249 u
3 5937 g
4 5784 n
5 5635 x
6 5532 n
7 5511 y
8 5386 u
9 5210 c
10 5116 a
11 5016 a
12 4821 a
13 4764 d
14 4744 c
15 4577 u
16 4401 c
17 4295 y
18 4241 x
19 4097 a
20 3941 d
21 3684 t
22 3281 u
23 3276 c

Teste 41
1 6398 i
2 6031 e
3 5420 d
4 4738 h
5 4577 c
6 4295 h
7 4097 d
8 3684 e
9 3276 i

Teste 42
1 6031 n
2 5944 c
3 4738 f
4 4427 f
5 4295 k
6 4220 u
7 3999 k
8 3920 n
9 3684 u

Teste 43
1 7710 o
2 6925 o
3 6584 l
4 6065 v
5 6031 v
6 5937 x
7 5927 w
8 5874 l
9 5863 c
10 5742 h
11 5635 w
12 5540 k
13 5511 w
14 5387 d
15 5347 o
16 5244 o
17 5210 f
18 5132 g
19 5120 u
20 5119 u
21 5105 d
21 5105 o
23 5073 w
24 5034 o
25 5016 l
26 4999 f
27 4966 o
28 4959 f
29 4939 r
30 4925 s
31 4903 w
32 4891 l
33 4867 s
34 4828 k
35 4826 r
36 4796 k
37 4784 h
38 4777 j
39 4764 h
40 4738 j
41 4712 g
42 4676 k
43 4599 a
44 4593 s
45 4526 b
46 4416 u
47 4412 c
48 4410 b
49 4387 x
50 4295 o
51 4289 w
52 4255 a
53 4150 s
54 3999 c
55 3798 h
56 3758 f
57 3684 c
58 3009 u

Teste 44
1 6925 s
2 6629 y
3 6119 u
4 6065 y
5 5937 g
6 5878 j
7 5874 w
8 5842 o
9 5814 h
10 5742 w
11 5709 q
12 5695 g
13 5540 x
14 5387 j
15 5332 n
16 5244 y
17 5138 z
18 5132 o
19 5119 a
20 5105 j
21 5034 a
22 4999 x
23 4970 x
24 4959 x
25 4929 s
26 4925 o
27 4891 v
28 4846 v
29 4828 z
30 4796 g
31 4777 u
32 4738 m
33 4676 n
34 4669 w
35 4622 j
36 4613 o
37 4593 d
38 4569 a
39 4472 d
40 4416 g
41 4410 h
42 4333 m
43 4295 f
44 4276 a
45 4255 q
46 4237 x
47 4198 s
48 4192 d
49 4062 f
50 4043 g
51 4032 w
52 3999 x
53 3942 y
54 3900 x
55 3898 g
56 3758 s
57 3009 d
58 2691 x

Teste 45
1 6629 u
2 6308 n
3 6197 e
4 6078 v
5 6065 g
6 5918 x
7 5880 k
8 5878 u
9 5861 r
10 5842 n
11 5812 q
12 5754 u
13 5742 d
14 5708 z
15 5695 t
16 5680 m
17 5487 k
18 5459 q
19 5432 k
20 5424 h
21 5415 t
22 5387 y
23 5348 q
24 5339 o
25 5263 n
26 5259 e
27 5244 m
28 5205 n
29 5132 e
30 5127 r
31 5105 k
32 4999 v
33 4959 h
34 4925 r
35 4902 e
36 4891 e
37 4878 d
38 4846 w
39 4815 n
40 4796 e
41 4738 k
42 4729 j
43 4682 y
44 4669 j
45 4635 f
46 4613 k
47 4596 h
47 4596 i
49 4577 j
50 4569 x
51 4531 g
52 4512 q
53 4416 i
54 4376 w
55 4333 j
56 4276 z
57 4237 h
58 4192 n
59 4043 o
60 4020 k
61 3999 f
62 3900 k
63 3758 e
64 3751 e
65 2691 r
66 1975 u

Teste 46
1 7226 j
2 7096 n
3 6589 c
4 6425 d
5 6320 q
6 6308 n
7 6078 e
8 5935 t
9 5918 l
10 5878 s
11 5842 t
12 5754 g
13 5708 h
14 5680 h
15 5594 w
16 5581 z
17 5580 v
18 5524 h
19 5463 v
20 5459 k
21 5440 g
22 5424 j
23 5387 r
24 5364 l
25 5339 v
26 5266 d
27 5259 z
28 5223 y
29 5218 h
30 5216 a
31 5213 g
32 5205 a
33 5201 s
34 5127 k
35 5115 t
36 5088 v
37 5087 k
38 4999 e
39 4937 r
40 4925 w
41 4911 a
42 4891 j
43 4846 q
44 4837 o
45 4796 p
46 4729 y
47 4725 h
48 4669 g
49 4623 s
50 4613 i
51 4596 d
52 4569 t
53 4512 c
54 4414 p
55 4376 h
56 4276 v
57 4218 i
58 4192 s
59 4053 j
60 4020 o
61 3906 k
62 3900 d
63 3751 v
64 3452 e
65 3003 e
66 1975 a

Teste 47
1 7215 y
2 7096 i
3 7017 n
4 6453 b
5 6425 x
6 6308 s
7 6166 t
8 6142 g
9 6113 m
10 6010 b
11 5935 v
12 5921 g
13 5878 a
14 5877 o
15 5824 m
16 5821 p
17 5784 i
18 5763 w
19 5754 y
20 5740 s
21 5730 n
22 5698 d
23 5680 r
24 5648 w
25 5588 o
26 5581 j
27 5557 w
28 5539 q
29 5524 q
30 5508 w
31 5491 o
32 5481 p
33 5459 j
34 5424 b
35 5397 q
36 5364 m
37 5350 q
38 5300 z
39 5275 z
40 5266 d
41 5223 n
42 5216 n
43 5205 z
44 5127 g
45 5110 b
46 5088 z
47 5080 j
48 5057 n
49 4999 g
50 4973 z
51 4946 w
52 4925 a
53 4920 x
54 4891 j
55 4837 r
56 4836 a
57 4741 n
58 4729 f
59 4669 i
60 4651 y
61 4633 i
62 4613 i
63 4569 b
64 4556 i
65 4481 f
66 4414 o
67 4363 d
68 4348 k
69 4276 r
70 4258 a
71 4207 v
72 4204 d
73 4192 y
74 4027 r
75 4020 x
76 3930 r
77 3900 t
78 3899 b
79 3888 m
80 3874 w
81 3828 j
82 3682 g
83 3648 j
84 3504 r
85 3452 k
86 3123 x
87 1975 z

Teste 48
1 7096 z
2 7066 z
3 7029 z
4 6983 j
5 6812 w
6 6545 j
7 6515 z
